"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","152.013370240021","121.481970958277","183.797315363393","264.451301446783","252.441094796871","289.823711181671","450.03486831624","606.910542432832","915.256615799703","899.805657578451","629.725720521475","668.760522673479","536.138768989009","455.52826158904","504.003673076204","478.426079012071","501.028409626294","432.673981938263","415.074278402075","417.98848587225","374.035188571865","","","","","","","","","","","","","","","","","141.900322047184","171.996793207284","211.955581238722","241.450951476424","262.070588885365","281.745953761265","288.121598924633","264.58368083834","280.428151291689","298.027830128966","314.992546099864",
"Angola","AGO","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98517358998106","5.26930407028051","3.94555155902453","1.87723648469998","4.60403873110105","12.2724084508782","8.33853369020877","4.12255817067196","6.96933897539988","14.0975271181418","26.1523112771014","82.3930554289339","93.840890484937","115.274842390669","67.7365254138126","73.9810743810103","79.6109806867244","70.4076290414275","57.3299779635325","47.478888761632","42.2775306795579","41.4085609935719","33.1739398354131","28.2431351908987",
"Albania","ALB","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1835352121757","25.3188789985432","57.8164309929178","65.7277413734188","66.3002957901549","67.0183271311673","67.6648658829861","57.5836104302601","66.721124025545","73.3352028761496","66.8936681708439","86.4132027696792","67.629310942962","71.9269992271452","72.7743950902567","55.4712049792916","51.3845839753449","46.6927126211837","38.0875763151365","35.1849612565484","30.5831701372086","30.8456210083569","36.2529959593196","35.56264139757","35.6640588979637","38.4666018122634",
"Andorra","AND","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","32.8317587445536","41.4037658050961","59.0312793405909","80.5308553808918","44.3335369508999","35.7820361204591","24.9383393133824","24.5100107814698","32.9978301031821","32.3920477833155","23.0401912551692","21.1266291418326","16.0551963297908","11.5573814761047","11.8437033233488","10.2290678891897","10.9914029391983","9.42348225103001","9.24937308780587","11.027520332941","14.2152201585373","18.288431784589","21.9111989111888","23.5403258584824","24.0977169825791","27.3236345470133","31.6346096852759","28.9900645364666","28.4222220405259","32.2126788474745","38.6599710296531","44.514801662887","56.8733924311596","64.2329015298972","100.609521406064","130.498786315026","148.938038842954","158.13433668286","160.511581791415","164.88159112646","155.867589206009","144.956891588154","131.160886893829","127.152003097703","106.613311634589","89.3040429447127","83.1377627977596","77.3177886847865",
"United Arab Emirates","ARE","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","4.78941024014849","8.30383074329545","21.6588137869485","24.2299578683734","10.7348804900406","20.8734731537031","32.9224746722976","43.9256232607729","54.9019990243294","34.0260532688742","13.9801782280832","10.2860670314453","6.16000322420921","5.28019278947026","9.19261969492426","8.4030390081184","6.35865003696774","8.73923466945951","4.9083813702472","9.95883361771427","11.363293246351","16.6852628027786","23.9627378811928","21.3109604188913","16.1779372525899","17.7416235593116","17.4848717291305","17.565336110488","17.3454704990554","16.7610465477656","9.53525023805956","7.07417151932967","8.66192564142805","11.7021633452756","21.471093431729","26.9273167592192","38.1974886724005","35.7492093481234","35.9078088918306","41.2243723341622","32.3798272103176","30.9278530315752","20.3976208832814","20.5054949584389","14.4531047812604","20.3512449136472","23.3916719544872","23.6070611903871",
"Armenia","ARM","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16309370517775","10.1453571748603","16.8470709067743","29.9960089166889","32.3126680542977","37.4677115813853","36.4520825204391","29.6805177700659","30.8517994724099","23.3711746231509","25.0632144034571","25.1475013189965","25.9858192104295","33.9867997524663","50.1157712953938","53.8327542010855","38.9426901449576","40.6006069455792","29.5825877386078","26.0764547850923","23.5502739580063","25.9369504674683","17.4088691796429","19.87783366963","22.1393871778461","22.4048516977669","20.5042828098569",
"American Samoa","ASM","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
